Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 30-Mar-2016 10:04:19
30-Mar-2016 10:05:03 Starting worker number 123...
30-Mar-2016 10:05:04 Starting worker number 124...
30-Mar-2016 10:05:04 Starting worker number 125...
30-Mar-2016 10:05:04 Starting worker number 126...
30-Mar-2016 10:05:04 Starting worker number 127...
30-Mar-2016 10:05:05 Starting worker number 128...
30-Mar-2016 10:05:05 Starting worker number 129...
30-Mar-2016 10:05:05 Starting worker number 130...
30-Mar-2016 10:05:05 Starting worker number 131...
30-Mar-2016 10:05:06 Starting worker number 132...
30-Mar-2016 10:05:06 Starting worker number 133...
30-Mar-2016 10:05:06 Starting worker number 134...
30-Mar-2016 10:05:07 Starting worker number 135...
30-Mar-2016 10:05:07 Starting worker number 136...
30-Mar-2016 10:05:07 Starting worker number 137...
30-Mar-2016 10:05:08 Starting worker number 138...
30-Mar-2016 10:05:08 Starting worker number 139...
30-Mar-2016 10:05:08 Starting worker number 140...
30-Mar-2016 10:05:09 Starting worker number 141...
30-Mar-2016 10:05:09 Starting worker number 142...
30-Mar-2016 10:05:09 Starting worker number 143...
30-Mar-2016 10:05:09 Starting worker number 144...
30-Mar-2016 10:05:10 Starting worker number 145...
30-Mar-2016 10:05:10 Starting worker number 146...
30-Mar-2016 10:05:10 Starting worker number 147...
30-Mar-2016 10:05:10 Starting worker number 148...
30-Mar-2016 10:05:11 Starting worker number 149...
30-Mar-2016 10:05:11 Starting worker number 150...
30-Mar-2016 10:05:11 Starting worker number 151...
30-Mar-2016 10:05:11 Starting worker number 152...
30-Mar-2016 10:05:12 Starting worker number 153...
30-Mar-2016 10:05:12 Starting worker number 154...
30-Mar-2016 10:05:12 Starting worker number 155...
30-Mar-2016 10:05:13 Starting worker number 156...
30-Mar-2016 10:05:13 Starting worker number 157...
30-Mar-2016 10:05:13 Starting worker number 158...
30-Mar-2016 10:05:13 Starting worker number 159...
30-Mar-2016 10:05:14 Starting worker number 160...
30-Mar-2016 10:05:14 Starting worker number 161...
30-Mar-2016 10:05:14 Starting worker number 162...
30-Mar-2016 10:05:15 Starting worker number 163...
30-Mar-2016 10:05:15 Starting worker number 164...
30-Mar-2016 10:05:15 Starting worker number 165...
30-Mar-2016 10:05:15 Starting worker number 166...
30-Mar-2016 10:05:16 Starting worker number 167...
30-Mar-2016 10:05:16 Starting worker number 168...
30-Mar-2016 10:05:16 Starting worker number 169...
30-Mar-2016 10:05:17 Starting worker number 170...
30-Mar-2016 10:05:17 Starting worker number 171...
30-Mar-2016 10:05:17 Starting worker number 172...
30-Mar-2016 10:05:17 Starting worker number 173...
30-Mar-2016 10:05:18 Starting worker number 174...
30-Mar-2016 10:05:18 Starting worker number 175...
30-Mar-2016 10:05:18 Starting worker number 176...
30-Mar-2016 10:05:18 Starting worker number 177...
30-Mar-2016 10:05:19 Starting worker number 178...
30-Mar-2016 10:05:19 Starting worker number 179...
30-Mar-2016 10:05:19 Starting worker number 180...
30-Mar-2016 10:05:19 Starting worker number 181...
30-Mar-2016 10:05:20 Starting worker number 182...
30-Mar-2016 10:05:20 Starting worker number 183...
30-Mar-2016 10:05:20 Starting worker number 184...
30-Mar-2016 10:05:20 Starting worker number 185...
30-Mar-2016 10:05:21 Starting worker number 186...
30-Mar-2016 10:05:21 Starting worker number 187...
30-Mar-2016 10:05:21 Starting worker number 188...
30-Mar-2016 10:05:22 Starting worker number 189...
30-Mar-2016 10:05:22 Starting worker number 190...
30-Mar-2016 10:05:22 Starting worker number 191...
30-Mar-2016 10:05:22 Starting worker number 192...
30-Mar-2016 10:05:23 Starting worker number 193...
30-Mar-2016 10:05:23 Starting worker number 194...
30-Mar-2016 10:05:23 Starting worker number 195...
30-Mar-2016 10:05:23 Starting worker number 196...
30-Mar-2016 10:05:24 Starting worker number 197...
30-Mar-2016 10:05:24 Starting worker number 198...
30-Mar-2016 10:05:24 Starting worker number 199...
30-Mar-2016 10:05:24 Starting worker number 200...
30-Mar-2016 10:05:25 Starting worker number 201...
30-Mar-2016 10:05:25 Starting worker number 202...
30-Mar-2016 10:05:25 Starting worker number 203...
30-Mar-2016 10:05:26 Starting worker number 204...
30-Mar-2016 10:05:26 Starting worker number 205...
30-Mar-2016 10:05:26 Starting worker number 206...
30-Mar-2016 10:05:27 Starting worker number 207...
30-Mar-2016 10:05:27 Starting worker number 208...
30-Mar-2016 10:05:27 Starting worker number 209...
30-Mar-2016 10:05:27 Starting worker number 210...
30-Mar-2016 10:05:28 Starting worker number 211...
30-Mar-2016 10:05:28 Starting worker number 212...
30-Mar-2016 10:05:28 Starting worker number 213...
30-Mar-2016 10:05:28 Starting worker number 214...
30-Mar-2016 10:05:29 Starting worker number 215...
30-Mar-2016 10:05:29 Starting worker number 216...
30-Mar-2016 10:05:29 Starting worker number 217...
30-Mar-2016 10:05:29 Starting worker number 218...
30-Mar-2016 10:05:30 Starting worker number 219...
30-Mar-2016 10:05:30 Starting worker number 220...
30-Mar-2016 10:05:30 Starting worker number 221...
30-Mar-2016 10:05:30 Starting worker number 222...
30-Mar-2016 10:05:31 Starting worker number 223...
30-Mar-2016 10:05:31 Starting worker number 224...
30-Mar-2016 10:05:31 Starting worker number 225...
30-Mar-2016 10:05:32 Starting worker number 226...
30-Mar-2016 10:05:32 Starting worker number 227...
30-Mar-2016 10:05:32 Starting worker number 228...
30-Mar-2016 10:05:32 Starting worker number 229...
30-Mar-2016 10:05:33 Starting worker number 230...
30-Mar-2016 10:05:33 Starting worker number 231...
30-Mar-2016 10:05:33 Starting worker number 232...
30-Mar-2016 10:05:33 Starting worker number 233...
30-Mar-2016 10:05:34 Starting worker number 234...
30-Mar-2016 10:05:34 Starting worker number 235...
30-Mar-2016 10:05:34 Starting worker number 236...
30-Mar-2016 10:05:34 Starting worker number 237...
30-Mar-2016 10:05:35 Starting worker number 238...
30-Mar-2016 10:05:35 Starting worker number 239...
30-Mar-2016 10:05:35 Starting worker number 240...
30-Mar-2016 10:05:35 Starting worker number 241...
30-Mar-2016 10:05:36 Starting worker number 242...
30-Mar-2016 10:05:36 Starting worker number 243...
30-Mar-2016 10:05:36 Starting worker number 244...
30-Mar-2016 10:05:37 Starting worker number 245...
30-Mar-2016 10:05:37 Starting worker number 246...
30-Mar-2016 10:05:37 Starting worker number 247...
30-Mar-2016 10:05:37 Starting worker number 248...
30-Mar-2016 10:05:38 Starting worker number 249...
30-Mar-2016 10:05:38 Starting worker number 250...
30-Mar-2016 10:05:38 Starting worker number 251...
30-Mar-2016 10:05:39 Starting worker number 252...
30-Mar-2016 10:05:39 Starting worker number 253...
30-Mar-2016 10:05:39 Starting worker number 254...
30-Mar-2016 10:05:39 Starting worker number 255...
30-Mar-2016 10:05:40 Starting worker number 256...
30-Mar-2016 10:05:40 Starting worker number 257...
30-Mar-2016 10:05:40 Starting worker number 258...
30-Mar-2016 10:05:40 Starting worker number 259...
30-Mar-2016 10:05:41 Starting worker number 260...
30-Mar-2016 10:05:41 Starting worker number 261...
30-Mar-2016 10:05:41 Starting worker number 262...
30-Mar-2016 10:05:42 Starting worker number 263...
30-Mar-2016 10:05:42 Starting worker number 264...
30-Mar-2016 10:05:42 Starting worker number 265...
30-Mar-2016 10:05:42 Starting worker number 266...
30-Mar-2016 10:05:43 Starting worker number 267...
30-Mar-2016 10:05:43 Starting worker number 268...
30-Mar-2016 10:05:43 Starting worker number 269...
30-Mar-2016 10:05:43 Starting worker number 270...
30-Mar-2016 10:05:44 Starting worker number 271...
30-Mar-2016 10:05:44 Starting worker number 272...
30-Mar-2016 10:05:44 Starting worker number 273...
30-Mar-2016 10:05:44 Starting worker number 274...
30-Mar-2016 10:05:45 Starting worker number 275...
30-Mar-2016 10:05:45 Starting worker number 276...
30-Mar-2016 10:05:45 Starting worker number 277...
30-Mar-2016 10:05:45 Starting worker number 278...
30-Mar-2016 10:05:46 Starting worker number 279...
30-Mar-2016 10:05:46 Starting worker number 280...
30-Mar-2016 10:05:46 Starting worker number 281...
30-Mar-2016 10:05:47 Starting worker number 282...
30-Mar-2016 10:05:47 Starting worker number 283...
30-Mar-2016 10:05:47 Starting worker number 284...
30-Mar-2016 10:05:48 Starting worker number 285...
30-Mar-2016 10:05:48 Starting worker number 286...
30-Mar-2016 10:05:48 Starting worker number 287...
30-Mar-2016 10:05:48 Starting worker number 288...
30-Mar-2016 10:05:49 Starting worker number 289...
30-Mar-2016 10:05:49 Starting worker number 290...
30-Mar-2016 10:05:49 Starting worker number 291...
30-Mar-2016 10:05:49 Starting worker number 292...
30-Mar-2016 10:05:50 Starting worker number 293...
30-Mar-2016 10:05:50 Starting worker number 294...
30-Mar-2016 10:05:51 Starting worker number 295...
Deamon terminated on 30-Mar-2016 10:07:11

